id,sentiment
"12311_10",1.0
"8348_2",8.025558078695606e-28
"5828_4",0.0011725275544449687
"7186_2",0.9999042749404907
"12128_7",1.0
"2913_8",0.13921049237251282
"4396_1",2.773978903907446e-15
"395_2",2.118200532780657e-14
"10616_1",0.0
"9074_9",0.00012795058137271553
"9252_3",9.765935828909278e-07
"9896_9",1.0
"574_4",0.9999397993087769
"11182_8",1.0
"11656_4",0.554125964641571
"2322_4",0.9992899894714355
"8703_1",2.614121412894358e-26
"7483_1",1.0142471849644681e-19
"6007_10",1.0
"12424_4",2.6989956409154364e-34
"4672_1",3.861157487489164e-12
"10841_3",7.357722701457854e-30
"8954_7",1.0263201843940806e-08
"7392_1",4.218332617865879e-26
"10288_8",1.0
"5343_4",6.14637715723454e-11
"4950_1",8.682849207659589e-31
"9257_4",1.0
"8689_3",3.1429037566681994e-19
"4480_2",3.64985769052939e-17
"9286_10",1.0
"12245_10",1.0
"7529_7",0.01891149766743183
"4_4",0.011262956075370312
"5299_2",1.5397348326895433e-11
"12077_8",1.0
"10701_2",0.0
"11579_1",3.681372564163029e-26
"10993_1",3.0641939106096434e-24
"8913_1",2.9250210745992817e-18
"1350_3",1.2895529412487054e-22
"3804_2",0.0
"5025_3",6.870882196530204e-10
"5170_8",0.9999996423721313
"8225_8",1.0
"6427_7",1.0
"3165_3",0.1654665768146515
"7902_9",1.0
"8208_3",1.2783235453903852e-20
"3577_8",0.017934486269950867
"4865_1",9.006474322285603e-32
"9063_3",2.9087738440125577e-08
"1106_1",7.096336851475371e-09
"1117_9",0.9999998807907104
"1050_4",2.395984743941426e-08
"10755_9",1.0
"2729_8",0.9999998807907104
"10072_10",1.0
"2904_7",1.0
"4584_2",3.4576318587789534e-14
"189_4",4.6267050493042916e-05
"6302_4",1.0
"8138_9",1.0
"1262_1",9.020109896797545e-20
"2199_10",1.0
"6551_7",4.00610915676225e-05
"8082_7",0.9999998807907104
"4897_8",1.0
"7360_1",1.181920006310122e-09
"11012_10",0.9999998807907104
"12046_1",1.9848863189677902e-16
"2331_2",0.9999786615371704
"8961_9",1.0
"751_7",0.0003104485513176769
"9884_10",1.0
"10016_8",0.9999995231628418
"8023_10",1.0
"2628_1",2.744240234807594e-34
"5832_1",4.6045229396907486e-14
"7302_1",1.3488489347674012e-15
"4501_3",3.975238087150501e-06
"1121_7",0.9881891012191772
"8334_3",0.9999971389770508
"9789_10",0.9292322397232056
"4230_10",0.9999879598617554
"824_4",3.6464286288096876e-20
"6803_9",0.9999514818191528
"3086_7",1.0
"1135_8",1.0
"10136_1",1.4376391125598993e-31
"11129_3",2.3694996077461806e-22
"2072_8",1.0
"9501_7",1.0
"319_10",1.0
"1693_7",1.0
"10886_1",1.917478323675816e-33
"9406_8",0.7637059688568115
"10376_10",1.0596126406858808e-11
"9902_1",7.656269823859418e-14
"9938_8",1.009220051279014e-12
"7080_9",0.9999905824661255
"11944_8",0.9979890584945679
"5249_1",1.391382079421132e-26
"9599_2",0.4749127924442291
"9620_1",1.3642355575946095e-27
"11244_1",2.4440565217569174e-27
"6841_10",1.0
"10050_4",1.0
"10512_9",0.9947702288627625
"11327_3",1.6771712907370784e-08
"10681_8",1.6280703452054013e-09
"808_3",3.7862286006093426e-13
"546_7",1.0
"10765_1",0.0
"7189_9",1.0
"6005_9",1.0
"11915_9",1.0
"5740_10",1.0
"7097_10",3.973430284531787e-05
"9573_10",1.0
"5084_4",0.9999998807907104
"12332_7",1.2159686775703449e-05
"8154_1",1.7588883730499066e-15
"5610_1",3.100927732021645e-17
"5323_9",1.0
"11034_8",0.9999996423721313
"3977_2",4.779844994282414e-21
